2025-07-25 14:58:10 | INFO | core.android_env_wrapper:__init__:36 | Using mock Android environment
2025-07-25 14:58:13 | INFO | core.logger:start_episode:94 | Started episode episode_1753469893_0: Test turning Wi-Fi on and off
2025-07-25 14:58:13 | INFO | env_manager:execute_qa_task:100 | Starting QA task: Test turning Wi-Fi on and off
2025-07-25 14:58:13 | INFO | env_manager:execute_qa_task:109 | Phase 1: Creating test plan
2025-07-25 14:58:13 | INFO | core.logger:log_agent_action:170 | Agent planner - create_plan: Success=True, Time=0.000s
2025-07-25 14:58:13 | INFO | agents.planner_agent:create_plan:103 | Created plan with 4 subgoals for: Test turning Wi-Fi on and off
2025-07-25 14:58:13 | INFO | env_manager:execute_qa_task:120 | Phase 2: Executing test plan
2025-07-25 14:58:13 | INFO | env_manager:execute_qa_task:137 | Step 1: Executing subgoal 1
2025-07-25 14:58:13 | INFO | agents.executor_agent:execute_subgoal:48 | Executing subgoal 1: Open Settings app from home screen
2025-07-25 14:58:13 | INFO | core.logger:log_agent_action:170 | Agent executor - execute_subgoal: Success=False, Time=0.001s
2025-07-25 14:58:13 | ERROR | agents.executor_agent:execute_subgoal:154 | Execution failed for subgoal 1: 'UIState' object has no attribute 'get'
2025-07-25 14:58:13 | INFO | agents.verifier_agent:verify_execution:54 | Verifying execution of subgoal 1: Open Settings app from home screen
2025-07-25 14:58:13 | INFO | core.logger:log_agent_action:170 | Agent verifier - verify_execution: Success=True, Time=0.001s
2025-07-25 14:58:13 | INFO | core.logger:log_verification_result:197 | Verification: Expected='On expected screen', Actual='Screen verification complete', Passed=True
2025-07-25 14:58:13 | INFO | agents.verifier_agent:verify_execution:99 | Verification PASSED for subgoal 1 (confidence: 0.80)
2025-07-25 14:58:13 | INFO | agents.planner_agent:mark_subgoal_completed:220 | Subgoal 1 completed: Open Settings app from home screen
2025-07-25 14:58:13 | INFO | env_manager:execute_qa_task:162 | Subgoal 1 completed successfully
2025-07-25 14:58:13 | INFO | env_manager:execute_qa_task:137 | Step 2: Executing subgoal 2
2025-07-25 14:58:13 | INFO | agents.executor_agent:execute_subgoal:48 | Executing subgoal 2: Find and tap Wi-Fi option in Settings
