2025-07-25 15:02:19 | INFO | core.android_env_wrapper:__init__:36 | Using mock Android environment
2025-07-25 15:02:21 | INFO | core.logger:start_episode:94 | Started episode episode_1753470141_0: Test turning Wi-Fi on and off
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:100 | Starting QA task: Test turning Wi-Fi on and off
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:109 | Phase 1: Creating test plan
2025-07-25 15:02:21 | INFO | core.logger:log_agent_action:170 | Agent planner - create_plan: Success=True, Time=0.004s
2025-07-25 15:02:21 | INFO | agents.planner_agent:create_plan:103 | Created plan with 4 subgoals for: Test turning Wi-Fi on and off
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:120 | Phase 2: Executing test plan
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:137 | Step 1: Executing subgoal 1
2025-07-25 15:02:21 | INFO | agents.executor_agent:execute_subgoal:48 | Executing subgoal 1: Open Settings app from home screen
2025-07-25 15:02:21 | INFO | core.logger:log_agent_action:170 | Agent executor - execute_subgoal: Success=False, Time=0.001s
2025-07-25 15:02:21 | ERROR | agents.executor_agent:execute_subgoal:154 | Execution failed for subgoal 1: 'UIState' object has no attribute 'get'
2025-07-25 15:02:21 | INFO | agents.verifier_agent:verify_execution:54 | Verifying execution of subgoal 1: Open Settings app from home screen
2025-07-25 15:02:21 | INFO | core.logger:log_agent_action:170 | Agent verifier - verify_execution: Success=True, Time=0.001s
2025-07-25 15:02:21 | INFO | core.logger:log_verification_result:197 | Verification: Expected='On expected screen', Actual='Screen verification complete', Passed=True
2025-07-25 15:02:21 | INFO | agents.verifier_agent:verify_execution:99 | Verification PASSED for subgoal 1 (confidence: 0.80)
2025-07-25 15:02:21 | INFO | agents.planner_agent:mark_subgoal_completed:220 | Subgoal 1 completed: Open Settings app from home screen
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:162 | Subgoal 1 completed successfully
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:137 | Step 2: Executing subgoal 2
2025-07-25 15:02:21 | INFO | agents.executor_agent:execute_subgoal:48 | Executing subgoal 2: Find and tap Wi-Fi option in Settings
2025-07-25 15:02:21 | INFO | core.logger:log_agent_action:170 | Agent executor - execute_subgoal: Success=False, Time=0.001s
2025-07-25 15:02:21 | ERROR | agents.executor_agent:execute_subgoal:154 | Execution failed for subgoal 2: 'UIState' object has no attribute 'get'
2025-07-25 15:02:21 | INFO | agents.verifier_agent:verify_execution:54 | Verifying execution of subgoal 2: Find and tap Wi-Fi option in Settings
2025-07-25 15:02:21 | INFO | core.logger:log_agent_action:170 | Agent verifier - verify_execution: Success=True, Time=0.001s
2025-07-25 15:02:21 | INFO | core.logger:log_verification_result:197 | Verification: Expected='Text present: []', Actual='Text verification complete', Passed=True
2025-07-25 15:02:21 | INFO | agents.verifier_agent:verify_execution:99 | Verification PASSED for subgoal 2 (confidence: 0.90)
2025-07-25 15:02:21 | INFO | agents.planner_agent:mark_subgoal_completed:220 | Subgoal 2 completed: Find and tap Wi-Fi option in Settings
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:162 | Subgoal 2 completed successfully
2025-07-25 15:02:21 | INFO | env_manager:execute_qa_task:137 | Step 3: Executing subgoal 3
2025-07-25 15:02:21 | INFO | agents.executor_agent:execute_subgoal:48 | Executing subgoal 3: Toggle Wi-Fi switch to change state
2025-07-25 15:02:21 | INFO | core.logger:log_agent_action:170 | Agent executor - execute_subgoal: Success=False, Time=0.001s
