2025-07-26 18:31:17 | INFO | core.logger:info:221 | [EnvironmentManager] QALogger initialized: EnvironmentManager
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] QALogger initialized: PlannerAgent
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] Using mock LLM configuration - Agent-S grounding disabled
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] Initialized PlannerAgent with Agent-S integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [UIParser] QALogger initialized: UIParser
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] PlannerAgent initialized with android_world integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [ExecutorAgent] QALogger initialized: ExecutorAgent
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [ExecutorAgent] Using mock LLM configuration - Agent-S grounding disabled
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [ExecutorAgent] Initialized ExecutorAgent with Agent-S integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [UIParser] QALogger initialized: UIParser
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [ExecutorAgent] ExecutorAgent initialized with android_world integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [VerifierAgent] QALogger initialized: VerifierAgent
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [VerifierAgent] Using mock LLM configuration - Agent-S grounding disabled
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [VerifierAgent] Initialized VerifierAgent with Agent-S integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [UIParser] QALogger initialized: UIParser
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [VerifierAgent] VerifierAgent initialized with Agent-S integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [SupervisorAgent] QALogger initialized: SupervisorAgent
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [SupervisorAgent] Using mock LLM configuration - Agent-S grounding disabled
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [SupervisorAgent] Initialized SupervisorAgent with Agent-S integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [UIParser] QALogger initialized: UIParser
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [SupervisorAgent] SupervisorAgent initialized with Agent-S integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [EnvironmentManager] EnvironmentManager initialized with Agent-S architecture
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [EnvironmentManager] Initializing multi-agent QA system
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] Starting PlannerAgent
2025-07-26 18:31:17 | DEBUG | core.logger:debug:225 | [PlannerAgent] Sent message: heartbeat to system
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [ExecutorAgent] Starting ExecutorAgent
2025-07-26 18:31:17 | DEBUG | core.logger:debug:225 | [ExecutorAgent] Sent message: heartbeat to system
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [VerifierAgent] Starting VerifierAgent
2025-07-26 18:31:17 | DEBUG | core.logger:debug:225 | [VerifierAgent] Sent message: heartbeat to system
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [SupervisorAgent] Starting SupervisorAgent
2025-07-26 18:31:17 | DEBUG | core.logger:debug:225 | [SupervisorAgent] Sent message: heartbeat to system
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [EnvironmentManager] All agents initialized successfully
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [EnvironmentManager] QALogger initialized: EnvironmentManager
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] QALogger initialized: PlannerAgent
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] Using mock LLM configuration - Agent-S grounding disabled
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] Initialized PlannerAgent with Agent-S integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [UIParser] QALogger initialized: UIParser
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [PlannerAgent] PlannerAgent initialized with android_world integration
2025-07-26 18:31:17 | INFO | core.logger:info:221 | [ExecutorAgent] QALogger initialized: ExecutorAgent
